code,summary,refined_summary
1111,"숙면을 취하고 있는 상태, 매우 양호한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면, 신체 건강, 정서 상태, 사회적 관계 모두 안정적인 상태로 전반적인 삶의 균형이 잘 유지되고 있습니다."
1112,"숙면을 취하고 있는 상태, 매우 양호한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면, 신체 건강, 정서 상태는 매우 양호하나, 사회적 관계에서의 외로움이 감지되어 주변과의 소통이 도움이 될 수 있습니다."
1121,"숙면을 취하고 있는 상태, 매우 양호한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 신체 건강은 양호하며, 정서적으로는 다소 예민할 수 있으나 사회적 관계는 건강하게 유지되고 있습니다."
1122,"숙면을 취하고 있는 상태, 매우 양호한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면과 신체 건강은 안정적이지만, 정서적 예민함과 사회적 거리감이 함께 느껴질 수 있어 세심한 돌봄이 필요합니다."
1131,"숙면을 취하고 있는 상태, 매우 양호한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 신체 건강은 양호하나, 정서적으로는 중간 수준의 어려움이 관찰되며, 사회적 관계는 잘 유지되고 있습니다."
1132,"숙면을 취하고 있는 상태, 매우 양호한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면과 신체 기능은 안정적이나, 정서적 어려움과 외로움이 함께 나타날 수 있어 정서적 휴식이 도움이 될 수 있습니다."
1141,"숙면을 취하고 있는 상태, 매우 양호한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 신체 건강은 좋으나, 정서적으로는 심리적 부담이 커질 수 있어 정서적 지원이 유익할 수 있습니다."
1142,"숙면을 취하고 있는 상태, 매우 양호한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 신체 건강은 유지되고 있으나, 정서적 어려움과 사회적 단절이 동반될 수 있어 차분한 돌봄과 소통이 필요해 보입니다."
1151,"숙면을 취하고 있는 상태, 매우 양호한 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 신체 상태는 안정적이지만, 정서적으로는 큰 부담이 있는 상태로 지속적인 심리적 관심이 유익할 수 있습니다."
1152,"숙면을 취하고 있는 상태, 매우 양호한 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면과 신체 건강은 양호하지만, 정서적 고립감과 외로움이 복합적으로 나타날 수 있어 심리·사회적 지원이 권장됩니다."
1211,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 정서, 사회적 관계는 양호한 편이나, 신체 기능 면에서는 주의가 필요해 일상 속 체력 관리가 중요할 수 있습니다."
1212,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서 상태는 안정적이지만, 신체 기능에 대한 주의와 더불어 사회적 소통을 회복하는 노력이 도움이 될 수 있습니다."
1221,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 관계는 비교적 건강하게 유지되고 있으며, 신체적 주의와 정서적 민감성에 대한 부드러운 대응이 유익할 수 있습니다."
1222,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 양호하나, 건강기능과 정서, 관계 측면에서 모두 다소의 관심이 필요한 시점입니다."
1231,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 사회적 관계는 안정적이나, 건강기능과 정서 상태 모두에서 점진적인 회복이 기대됩니다."
1232,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면은 잘 이루어지고 있지만, 건강기능 저하와 정서적 부담, 관계적 거리감이 함께 관찰될 수 있습니다."
1241,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면은 안정적이지만, 건강기능에 대한 관심과 함께 심리적 회복력을 점검해보는 것이 도움이 될 수 있습니다."
1242,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면은 유지되고 있으나, 신체적 관리와 정서적 돌봄, 더불어 사회적 연결에 대한 소소한 지원이 필요할 수 있습니다."
1251,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면은 양호하나, 건강기능과 정서적 어려움이 함께 나타날 수 있어 회복을 위한 다면적 접근이 바람직합니다."
1252,"숙면을 취하고 있는 상태, 건강기능에 주의가 필요한 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 안정적이지만, 신체 기능 저하와 함께 정서적 위축, 외로움이 복합적으로 작용할 수 있는 상태입니다."
1311,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 정서, 사회적 관계는 양호하나, 신체 기능의 어려움이 관찰되어 적절한 체력 회복과 관리가 필요합니다."
1312,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서 상태는 안정적이나, 신체 건강의 어려움과 더불어 관계에서의 외로움이 함께 느껴질 수 있습니다."
1321,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 사회적 관계는 안정적이나, 건강기능 저하와 정서적 민감성이 함께 나타날 수 있어 생활 리듬 조절이 중요합니다."
1322,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 가벼운 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면은 양호하지만, 신체적 불편과 정서적 민감성, 사회적 단절감이 복합적으로 영향을 줄 수 있는 시점입니다."
1331,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","요약하면, 수면과 사회적 관계는 건강하게 유지되고 있으나, 신체 기능 저하와 정서적 부담이 함께 동반될 수 있습니다."
1332,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 중간단계의 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","종합해보면, 수면은 유지되고 있으나, 건강기능의 어려움과 감정적 불편감, 관계 속 고립감이 나타날 수 있어 유연한 대응이 필요합니다."
1341,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 사회적 관계는 양호하지만, 신체적 어려움과 정서적 긴장감이 함께 느껴질 수 있습니다."
1342,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 심각한 정서적 어려움이 있는 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면은 잘 이루어지고 있지만, 건강기능 저하와 정서적 부담, 사회적 거리감이 복합적으로 관찰됩니다."
1351,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 매우 심각한 상태, 사회적 관계가 건강한 상태.","종합해보면, 수면과 관계는 양호하나, 건강기능이 저하되고 정서적 어려움이 심화되어 세심한 관심과 돌봄이 필요할 수 있습니다."
1352,"숙면을 취하고 있는 상태, 건강기능에 어려움이 있는 상태, 매우 심각한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","전반적으로 볼 때, 수면 상태는 유지되고 있으나, 건강과 정서, 관계적 안정이 모두 흔들릴 수 있어 다차원적 회복이 요구됩니다."
1411,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 정서적으로 건강한 상태, 사회적 관계가 건강한 상태.","전반적으로 볼 때, 수면과 정서, 사회적 관계는 양호하나, 신체 건강 상태에 상당한 주의가 요구되는 상황입니다."
1412,"숙면을 취하고 있는 상태, 건강기능이 위험한 상태, 정서적으로 건강한 상태, 사회적 관계 단절과 외로움이 우려되는 상태.","요약하면, 수면과 정서 상태는 안정적이지만, 신체 건강의 위협과 함께 사회적 고립감이 동반될 수 있어 다각적인 돌봄이 필요합니다."
